Rank,Team,strength,Hi,Low,Last
203,Liberty (22-10),-2.6,62,349,198
204,Oral Roberts (18-11),-2.6,35,332,204
205,NC-Wilmgton (21-8),-2.7,133,340,209
206,Texas State (21-6),-2.7,78,275,210
207,Marist (14-14),-2.7,143,265,206
208,Jksnville St (21-9),-2.7,30,209,205
209,Coastal Car (16-13),-2.8,159,358,207
210,Troy (19-10),-2.8,198,355,211
211,Samford (20-10),-2.8,211,357,213
212,Hawaii (15-10),-2.9,148,335,228
213,Weber State (20-10),-2.9,111,348,216
214,Tarleton State (14-16),-2.9,13,220,218
215,Seattle (22-8),-2.9,128,337,217
216,Abl Christian (19-9),-3,20,244,214
217,GA Southern (13-15),-3,175,310,226
218,Navy (20-10),-3,7,228,208
219,S Utah (19-10),-3,122,306,215
220,N Colorado (18-13),-3.1,116,260,232
221,Wm & Mary (5-26),-3.1,82,317,220
222,Rider (11-18),-3.1,102,318,227
223,E Washingtn (16-14),-3.1,41,245,212
224,Winthrop (21-8),-3.2,96,331,223
225,S Mississippi (6-24),-3.2,194,327,225
226,UCSB (16-10),-3.2,52,346,221
227,Fairfield (14-16),-3.2,23,252,219
228,Wright State (19-13),-3.3,70,298,233
229,Miami (OH) (13-17),-3.3,46,293,231
230,Cal Poly (6-20),-3.3,230,349,239
231,Ball State (13-16),-3.3,131,265,230
232,Kennesaw St (13-18),-3.3,56,294,237
233,E Michigan (10-20),-3.3,32,323,234
234,N Dakota St (21-9),-3.3,122,307,229
235,Manhattan (15-14),-3.4,234,352,240
236,Montana St (23-7),-3.4,36,268,222
237,CS Bakersfld (7-17),-3.4,1,331,224
238,Arkansas St (18-10),-3.5,177,350,235
239,Harvard (13-12),-3.5,176,335,236
240,Albany (13-17),-3.6,117,242,242
241,Stony Brook (18-13),-3.7,4,244,243
242,TX Southern (14-12),-3.7,4,243,241
243,AR Lit Rock (9-18),-3.7,156,344,259
244,Citadel (12-17),-3.8,100,345,244
245,TN Tech (11-21),-3.8,2,299,250
246,Florida Intl (15-15),-3.8,94,335,246
247,Bowling Grn (13-17),-3.8,132,301,249
248,Wagner (20-5),-3.8,31,258,248
249,Central Ark (11-20),-3.9,16,330,258
250,Cal St Nrdge (7-21),-3.9,4,317,253
251,LA Monroe (13-18),-3.9,1,295,255
252,Fla Gulf Cst (21-11),-3.9,66,340,254
253,Hartford (11-19),-3.9,107,253,245
254,N Kentucky (19-11),-4,162,336,257
255,Quinnipiac (12-15),-4,19,342,269
256,UC San Diego (13-15),-4,105,322,260
257,Cleveland St (20-9),-4,18,285,251
258,Maryland BC (16-13),-4,65,291,256
259,TX-Pan Am (8-21),-4.1,235,353,261
260,Gard-Webb (17-12),-4.2,14,275,262
261,Coppin State (7-22),-4.2,43,318,247
262,Lipscomb (14-19),-4.2,224,323,279
263,UMKC (19-11),-4.2,21,312,264
264,IL-Chicago (14-16),-4.2,67,275,272
265,Alcorn State (14-15),-4.2,28,332,238
266,Bryant (20-9),-4.3,98,313,266
267,Rob Morris (8-24),-4.3,7,297,277
268,Austin Peay (12-17),-4.3,169,318,265
269,LIU (16-13),-4.3,21,269,267
270,W Michigan (8-22),-4.3,6,355,268
271,Portland St (12-15),-4.4,56,305,271
272,South Dakota (18-11),-4.4,106,312,274
273,Jackson St (10-18),-4.4,6,273,252
274,Jacksonville (20-9),-4.5,231,354,263
275,Chicago St (7-23),-4.5,275,357,275
276,Cal Baptist (16-14),-4.5,191,357,281
277,Montana (18-12),-4.5,149,334,273
278,Radford (11-18),-4.6,110,315,280
279,Boston U (21-11),-4.6,73,279,276
280,Bucknell (9-23),-4.6,27,290,285
281,Idaho (8-21),-4.6,161,345,278
282,N Hampshire (15-12),-4.7,111,350,282
283,Southern (16-13),-4.7,25,294,270
284,W Illinois (16-14),-4.7,77,336,284
285,Dixie State (13-17),-4.7,22,343,291
286,Mass Lowell (15-15),-4.7,133,350,289
287,Mt St Marys (14-15),-4.8,4,287,283
288,Idaho State (7-22),-4.9,225,336,290
289,Prairie View (8-17),-4.9,2,289,287
290,SE Missouri (14-17),-4.9,74,349,293
291,UC Davis (12-9),-4.9,65,317,303
292,Presbyterian (12-20),-4.9,70,327,288
293,American (10-22),-4.9,177,308,297
294,IPFW (21-10),-5,204,356,286
295,WI-Grn Bay (5-25),-5,101,325,292
296,High Point (14-17),-5,213,356,294
297,Stetson (11-19),-5.1,221,319,295
298,E Kentucky (13-18),-5.1,183,344,298
299,Merrimack (14-16),-5.1,177,334,296
300,F Dickinson (4-22),-5.1,1,321,299
301,Central Conn (8-24),-5.2,39,344,300
302,TX-San Ant (9-21),-5.2,203,357,311
303,SC Upstate (13-15),-5.2,77,343,301
304,Binghamton (11-16),-5.2,203,335,302
305,Columbia (4-21),-5.3,172,351,304
306,TN Martin (8-22),-5.3,24,353,306
307,NC A&T (12-19),-5.3,89,308,305
308,N Arizona (9-21),-5.3,22,340,313
309,Lamar (2-26),-5.4,240,346,308
310,WI-Milwkee (10-22),-5.4,143,310,307
311,NC-Asheville (16-14),-5.4,41,311,309
312,Neb Omaha (5-24),-5.5,285,347,310
313,Sac State (9-17),-5.5,272,349,320
314,Campbell (16-12),-5.5,135,341,312
315,SIU Edward (11-21),-5.6,74,351,314
316,Loyola-MD (14-16),-5.6,23,337,319
317,St Fran (PA) (9-21),-5.7,145,334,315
318,NJIT (11-17),-5.8,138,334,317
319,Lafayette (10-20),-5.8,51,319,318
320,Army (15-16),-5.9,233,344,316
321,Sacred Hrt (10-20),-5.9,90,326,321
322,Youngs St (18-14),-6,21,332,325
323,Longwood (23-6),-6,20,329,323
324,N Alabama (9-21),-6,34,354,326
325,Denver (11-20),-6,322,357,324
326,Lehigh (13-18),-6,56,330,322
327,Nicholls St (20-10),-6.1,82,332,328
328,St Fran (NY) (10-20),-6.2,26,340,329
329,TN State (14-17),-6.2,243,356,327
330,St. Thomas (MN) (10-20),-6.3,291,351,330
331,Hampton (9-19),-6.4,311,358,331
332,North Dakota (6-25),-6.8,222,347,333
333,Grambling St (11-18),-6.8,41,337,332
334,Florida A&M (12-16),-7.1,57,345,334
335,Norfolk St (21-6),-7.1,305,354,336
336,Holy Cross (9-22),-7.1,276,354,335
337,SE Louisiana (17-13),-7.2,106,352,337
338,Howard (16-12),-7.2,257,356,340
339,Alabama St (8-21),-7.3,31,354,344
340,Beth-Cook (9-20),-7.3,111,346,338
341,McNeese St (10-20),-7.3,32,341,341
342,NW State (9-21),-7.3,29,346,342
343,Maine (6-23),-7.5,30,357,346
344,Charl South (6-24),-7.5,300,357,345
345,NC Central (15-14),-7.6,2,345,339
346,E Illinois (4-26),-7.7,19,356,347
347,New Orleans (17-11),-7.9,33,348,348
348,Maryland ES (11-14),-8.1,136,356,343
349,Alab A&M (11-16),-8.1,154,349,349
350,Morgan St (12-13),-8.6,239,354,350
351,Miss Val St (2-25),-8.9,191,358,354
352,TX A&M-CC (19-11),-9.1,331,357,351
353,Incar Word (7-23),-9.1,142,355,352
354,IUPUI (3-26),-9.2,69,356,353
355,S Car State (15-15),-9.2,148,356,355
356,Ark Pine Bl (7-23),-9.6,31,356,356
357,Houston Bap (9-17),-10.2,49,357,357
358,Delaware St (2-25),-11.1,350,358,358
